gene	transcript	chromosome	strand	TSS source	primary TSS	secondary TSS
0610007P14Rik	P1P2	chr12	-	CAGE, matched peaks	(85824506, 85824555)	(85824506, 85824555)
0610009B22Rik	P1P2	chr11	-	CAGE, matched peaks	(51688614, 51688669)	(51688614, 51688669)
0610009D07Rik	P1P2	chr12	+	CAGE, matched peaks	(4817545, 4817578)	(4817661, 4817672)
0610009L18Rik	P1P2	chr11	+	CAGE, matched peaks	(120348654, 120348663)	(120348275, 120348311)
0610009O20Rik	P1P2	chr18	+	CAGE, matched peaks	(38250240, 38250287)	(38250294, 38250305)
0610010F05Rik	P1P2	chr11	-	CAGE, matched peaks	(23633621, 23633638)	(23633646, 23633669)
0610010K14Rik	P1	chr11	-	CAGE, matched peaks	(70239794, 70239860)	(70239794, 70239860)
0610010K14Rik	P2	chr11	-	CAGE, matched peaks	(70237852, 70237885)	(70237852, 70237885)
0610011F06Rik	P1P2	chr17	+	CAGE, matched peaks	(25875492, 25875536)	(25875584, 25875589)
0610012H03Rik	P1P2	chr2	+	CAGE, matched peaks	(105224314, 105224357)	(105224287, 105224308)
0610030E20Rik	P1P2	chr6	+	CAGE, matched peaks	(72347301, 72347379)	(72347382, 72347390)
0610031J06Rik	P1P2	chr3	+	CAGE, matched peaks	(88325030, 88325075)	(88325078, 88325080)
0610037L13Rik	P1P2	chr4	+	CAGE, matched peaks	(107889830, 107889880)	(107890094, 107890129)
0610040J01Rik	P1P2	chr5	+	CAGE, matched peaks	(63812447, 63812538)	(63812539, 63812545)
1100001G20Rik	P1P2	chr11	+	CAGE, matched peaks	(83746989, 83747006)	(83746989, 83747006)
1110001A16Rik	P1P2	chr17	+	CAGE, matched peaks	(78916473, 78916509)	(78916473, 78916509)
1110001J03Rik	P1	chr6	+	CAGE, matched peaks	(38534833, 38534872)	(38534833, 38534872)
1110001J03Rik	P2	chr6	+	CAGE, matched peaks	(38533555, 38533585)	(38533555, 38533585)
1110002E22Rik	P1P2	chr3	+	CAGE, primary peaks	(138065014, 138065025)	(138065031, 138065042)
1110002L01Rik	P1P2	chr12	-	CAGE, matched peaks	(3426700, 3426782)	(3426588, 3426613)
1110004E09Rik	P1P2	chr16	-	CAGE, matched peaks	(90934802, 90934857)	(90934763, 90934779)
1110004F10Rik	P1P2	chr7	+	CAGE, matched peaks	(116093339, 116093372)	(116093296, 116093329)
1110007C09Rik	P1P2	chr13	-	CAGE, matched peaks	(49215978, 49216052)	(49215858, 49215903)
1110008F13Rik	P1	chr2	+	CAGE, matched peaks	(156863110, 156863170)	(156863110, 156863170)
1110008F13Rik	P2	chr2	+	CAGE, matched peaks	(156872498, 156872514)	(156872498, 156872514)
1110008J03Rik	P1P2	chr5	-	CAGE, matched peaks	(120612558, 120612598)	(120612542, 120612555)
1110008L16Rik	P1P2	chr12	+	CAGE, matched peaks	(55302745, 55302770)	(55302745, 55302770)
1110008P14Rik	P1P2	chr2	-	CAGE, matched peaks	(32381821, 32381908)	(32381909, 32381920)
1110012L19Rik	P1P2	chrX	+	CAGE, matched peaks	(70385870, 70385944)	(70385870, 70385944)
1110017D15Rik	P1	chr4	-	CAGE, matched peaks	(41507741, 41507775)	(41507741, 41507775)
1110017D15Rik	P2	chr4	-	CAGE, matched peaks	(41517301, 41517323)	(41517301, 41517323)
1110025L11Rik	ENSMUST00000089104.2	chr16	-	Annotation	(89064001, 89064001)	(89064001, 89064001)
1110032A03Rik	P1	chr9	-	CAGE, matched peaks	(50768109, 50768186)	(50768109, 50768186)
1110032A03Rik	P2	chr9	-	CAGE, matched peaks	(50765904, 50765923)	(50765904, 50765923)
1110032F04Rik	P1P2	chr3	+	CAGE, matched peaks	(68869337, 68869399)	(68869563, 68869589)
1110034G24Rik	P1P2	chr2	+	CAGE, matched peaks	(132686944, 132686982)	(132686944, 132686982)
1110037F02Rik	P1P2	chr4	+	CAGE, matched peaks	(11486002, 11486045)	(11485947, 11485964)
1110038F14Rik	P1P2	chr15	+	CAGE, matched peaks	(76948490, 76948539)	(76948728, 76948778)
1110051M20Rik	P1P2	chr2	-	CAGE, matched peaks	(91444629, 91444726)	(91444615, 91444622)
1110057K04Rik	P1P2	chr12	+	CAGE, matched peaks	(8208119, 8208161)	(8208164, 8208172)
1110057P08Rik	P1P2	chr16	+	CAGE, primary peaks	(89174732, 89174736)	(89174732, 89174736)
1110058L19Rik	P1P2	chr1	-	CAGE, matched peaks	(24005608, 24005646)	(24005608, 24005646)
1110059E24Rik	P1P2	chr19	-	CAGE, matched peaks	(21652745, 21652769)	(21652779, 21652819)
1110059G10Rik	P1P2	chr9	-	CAGE, matched peaks	(122950960, 122951006)	(122950922, 122950953)
1110059M19Rik	P1P2	chrX	+	CAGE, matched peaks	(45090920, 45090940)	(45090920, 45090940)
1110065P20Rik	P1P2	chr4	-	CAGE, matched peaks	(124850324, 124850386)	(124851152, 124851203)
1190002N15Rik	P1P2	chr9	-	CAGE, matched peaks	(94538004, 94538053)	(94538004, 94538053)
1190003K10Rik	P1P2	chr13	-	CAGE, matched peaks	(64497561, 64497562)	(64497561, 64497562)
1190005I06Rik	P1P2	chr8	-	CAGE, matched peaks	(120634379, 120634398)	(120634358, 120634374)
1190007I07Rik	P1P2	chr10	-	CAGE, matched peaks	(82623074, 82623123)	(82623200, 82623248)
1200014J11Rik	P1P2	chr11	+	CAGE, matched peaks	(73047854, 73047902)	(73047824, 73047827)
1300002K09Rik	P1P2	chr4	+	CAGE, matched peaks	(45848958, 45849016)	(45848920, 45848950)
1300017J02Rik	P1P2	chr9	-	CAGE, matched peaks	(103288290, 103288307)	(103288225, 103288256)
1500002C15Rik	P1P2	chr4	-	CAGE, primary peaks	(155734621, 155734656)	(155734621, 155734656)
1500009C09Rik	P1P2	chr15	+	CAGE, matched peaks	(82256098, 82256130)	(82256098, 82256130)
1500009L16Rik	P1P2	chr10	+	CAGE, matched peaks	(83722881, 83722947)	(83722948, 83722969)
1500011B03Rik	P1P2	chr5	-	CAGE, primary peaks	(114813902, 114813937)	(114813943, 114813964)
1500012F01Rik	P1P2	chr2	+	CAGE, matched peaks	(167063213, 167063227)	(167062817, 167062854)
1500015O10Rik	P1P2	chr1	+	CAGE, matched peaks	(43730811, 43730875)	(43730666, 43730718)
1500035N22Rik	P1P2	chr5	+	CAGE, matched peaks	(24985840, 24985862)	(24985840, 24985862)
1600002H07Rik	P1P2	chr17	-	CAGE, matched peaks	(24220738, 24220803)	(24220708, 24220737)
1600002K03Rik	P1P2	chr10	+	CAGE, matched peaks	(80172934, 80172961)	(80172934, 80172961)
1600012H06Rik	P1P2	chr17	+	CAGE, matched peaks	(14943204, 14943281)	(14943187, 14943200)
1600012P17Rik	P1P2	chr1	-	CAGE, primary peaks	(158980452, 158980469)	(158980452, 158980469)
1600014C10Rik	P1P2	chr7	+	CAGE, matched peaks	(38183804, 38183869)	(38183224, 38183278)
1600014C23Rik	P1P2	chr17	-	CAGE, matched peaks	(45733843, 45733848)	(45733843, 45733848)
1600014K23Rik	P1P2	chrX	+	CAGE, matched peaks	(85249709, 85249718)	(85249674, 85249684)
