sgId	Sublibrary	gene_name	length	pam coordinate	pass_score	position	strand	transcript_list
Drug_Targets+Kinase_Phosphatase=AARS_+_70323216.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS	24	70323216	e39m1	70323216	+	['all']
Drug_Targets+Kinase_Phosphatase=AARS_+_70323296.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS	24	70323296	e39m1	70323296	+	['all']
Drug_Targets+Kinase_Phosphatase=AARS_+_70323318.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS	24	70323318	e39m1	70323318	+	['all']
Drug_Targets+Kinase_Phosphatase=AARS_+_70323362.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS	24	70323362	e39m1	70323362	+	['all']
Drug_Targets+Kinase_Phosphatase=AARS_+_70323441.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS	24	70323441	e39m1	70323441	+	['all']
Drug_Targets+Kinase_Phosphatase=AARS_+_70323466.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS	24	70323466	e39m1	70323466	+	['all']
Drug_Targets+Kinase_Phosphatase=AARS_-_70323225.22-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS	22	70323225	e39m1	70323225	-	['all']
Drug_Targets+Kinase_Phosphatase=AARS_-_70323276.23-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS	23	70323276	e39m1	70323276	-	['all']
Drug_Targets+Kinase_Phosphatase=AARS_-_70323332.23-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS	23	70323332	e39m1	70323332	-	['all']
Drug_Targets+Kinase_Phosphatase=AARS_-_70323472.23-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS	23	70323472	e39m1	70323472	-	['all']
essential_crispri=AARS_+_70323152.24-all~e39m1	essential_crispri	AARS	24	70323152	e39m1	70323152	+	['all']
essential_crispri=AARS_+_70323196.24-all~e39m1	essential_crispri	AARS	24	70323196	e39m1	70323196	+	['all']
essential_crispri=AARS_+_70323240.24-all~e39m1	essential_crispri	AARS	24	70323240	e39m1	70323240	+	['all']
essential_crispri=AARS_+_70323322.23-all~e39m1	essential_crispri	AARS	23	70323322	e39m1	70323322	+	['all']
essential_crispri=AARS_+_70323353.24-all~e39m1	essential_crispri	AARS	24	70323353	e39m1	70323353	+	['all']
essential_crispri=AARS_+_70323368.23-all~e39m1	essential_crispri	AARS	23	70323368	e39m1	70323368	+	['all']
essential_crispri=AARS_-_70323225.23-all~e39m1	essential_crispri	AARS	23	70323225	e39m1	70323225	-	['all']
essential_crispri=AARS_-_70323237.23-all~e39m1	essential_crispri	AARS	23	70323237	e39m1	70323237	-	['all']
Drug_Targets+Kinase_Phosphatase=AARS2_+_44280792.21-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS2	21	44280792	e39m1	44280792	+	['all']
Drug_Targets+Kinase_Phosphatase=AARS2_+_44281006.23-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS2	23	44281006	e39m1	44281006	+	['all']
Drug_Targets+Kinase_Phosphatase=AARS2_+_44281044.22-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS2	22	44281044	e39m1	44281044	+	['all']
Drug_Targets+Kinase_Phosphatase=AARS2_+_44281056.23-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS2	23	44281056	e39m1	44281056	+	['all']
Drug_Targets+Kinase_Phosphatase=AARS2_-_44280804.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS2	24	44280804	e39m1	44280804	-	['all']
