sgId	Sublibrary	gene_name	length	pam coordinate	pass_score	position	strand	transcript_list
Apoptosis+Cancer+Other_Cancer=AHR_+_17337908.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	AHR	24	17337908	e39m1	17337908	+	['all']
Apoptosis+Cancer+Other_Cancer=AHR_+_17337955.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	AHR	24	17337955	e39m1	17337955	+	['all']
Apoptosis+Cancer+Other_Cancer=AHR_+_17338075.23-all~e39m1	Apoptosis+Cancer+Other_Cancer	AHR	23	17338075	e39m1	17338075	+	['all']
Apoptosis+Cancer+Other_Cancer=AHR_+_17338134.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	AHR	24	17338134	e39m1	17338134	+	['all']
Apoptosis+Cancer+Other_Cancer=AHR_-_17337989.22-all~e39m1	Apoptosis+Cancer+Other_Cancer	AHR	22	17337989	e39m1	17337989	-	['all']
Apoptosis+Cancer+Other_Cancer=AHR_-_17338082.23-all~e39m1	Apoptosis+Cancer+Other_Cancer	AHR	23	17338082	e39m1	17338082	-	['all']
Apoptosis+Cancer+Other_Cancer=AHR_-_17338119.22-all~e39m1	Apoptosis+Cancer+Other_Cancer	AHR	22	17338119	e39m1	17338119	-	['all']
Apoptosis+Cancer+Other_Cancer=AHR_-_17338126.22-all~e39m1	Apoptosis+Cancer+Other_Cancer	AHR	22	17338126	e39m1	17338126	-	['all']
Apoptosis+Cancer+Other_Cancer=AHR_-_17338164.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	AHR	24	17338164	e39m1	17338164	-	['all']
Apoptosis+Cancer+Other_Cancer=AHR_-_17338168.22-all~e39m1	Apoptosis+Cancer+Other_Cancer	AHR	22	17338168	e39m1	17338168	-	['all']
Apoptosis+Cancer+Other_Cancer=ANP32B_+_100745350.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ANP32B	24	100745350	e39m1	100745350	+	['all']
Apoptosis+Cancer+Other_Cancer=ANP32B_+_100745411.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ANP32B	24	100745411	e39m1	100745411	+	['all']
Apoptosis+Cancer+Other_Cancer=ANP32B_+_100745447.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ANP32B	24	100745447	e39m1	100745447	+	['all']
Apoptosis+Cancer+Other_Cancer=ANP32B_-_100745290.22-all~e39m1	Apoptosis+Cancer+Other_Cancer	ANP32B	22	100745290	e39m1	100745290	-	['all']
Apoptosis+Cancer+Other_Cancer=ANP32B_-_100745298.23-all~e39m1	Apoptosis+Cancer+Other_Cancer	ANP32B	23	100745298	e39m1	100745298	-	['all']
Apoptosis+Cancer+Other_Cancer=ANP32B_-_100745318.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ANP32B	24	100745318	e39m1	100745318	-	['all']
Apoptosis+Cancer+Other_Cancer=ANP32B_-_100745330.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ANP32B	24	100745330	e39m1	100745330	-	['all']
Apoptosis+Cancer+Other_Cancer=ANP32B_-_100745556.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ANP32B	24	100745556	e39m1	100745556	-	['all']
Unassigned=ARFIP1_+_153700880.24-all~e39m1	Unassigned	ARFIP1	24	153700880	e39m1	153700880	+	['all']
Unassigned=ARFIP1_+_153700902.24-all~e39m1	Unassigned	ARFIP1	24	153700902	e39m1	153700902	+	['all']
Unassigned=ARFIP1_-_153700742.23-all~e39m1	Unassigned	ARFIP1	23	153700742	e39m1	153700742	-	['all']
Unassigned=ARFIP1_-_153700765.24-all~e39m1	Unassigned	ARFIP1	24	153700765	e39m1	153700765	-	['all']
Unassigned=ARFIP1_-_153700770.24-all~e39m1	Unassigned	ARFIP1	24	153700770	e39m1	153700770	-	['all']
Unassigned=ARFIP1_-_153700833.24-all~e39m1	Unassigned	ARFIP1	24	153700833	e39m1	153700833	-	['all']
Unassigned=ARFIP1_-_153700895.24-all~e39m1	Unassigned	ARFIP1	24	153700895	e39m1	153700895	-	['all']
Unassigned=ARFIP1_-_153700917.24-all~e39m1	Unassigned	ARFIP1	24	153700917	e39m1	153700917	-	['all']
Unassigned=ARFIP1_-_153700941.24-all~e39m1	Unassigned	ARFIP1	24	153700941	e39m1	153700941	-	['all']
Unassigned=ARFIP1_-_153700956.22-all~e39m1	Unassigned	ARFIP1	22	153700956	e39m1	153700956	-	['all']
Gene_Expression=ARHGEF2_+_155948495.24-all~e39m1	Gene_Expression	ARHGEF2	24	155948495	e39m1	155948495	+	['all']
Gene_Expression=ARHGEF2_+_155948561.25-all~e39m1	Gene_Expression	ARHGEF2	25	155948561	e39m1	155948561	+	['all']
Gene_Expression=ARHGEF2_-_155948400.25-all~e39m1	Gene_Expression	ARHGEF2	25	155948400	e39m1	155948400	-	['all']
Gene_Expression=ARHGEF2_-_155948451.25-all~e39m1	Gene_Expression	ARHGEF2	25	155948451	e39m1	155948451	-	['all']
Gene_Expression=ARHGEF2_-_155948459.22-all~e39m1	Gene_Expression	ARHGEF2	22	155948459	e39m1	155948459	-	['all']
Gene_Expression=ARHGEF2_-_155948470.25-all~e39m1	Gene_Expression	ARHGEF2	25	155948470	e39m1	155948470	-	['all']
Gene_Expression=ARHGEF2_-_155948492.23-all~e39m1	Gene_Expression	ARHGEF2	23	155948492	e39m1	155948492	-	['all']
Gene_Expression=ARHGEF2_-_155948514.24-all~e39m1	Gene_Expression	ARHGEF2	24	155948514	e39m1	155948514	-	['all']
Gene_Expression=ARHGEF2_-_155948545.24-all~e39m1	Gene_Expression	ARHGEF2	24	155948545	e39m1	155948545	-	['all']
Apoptosis+Cancer+Other_Cancer=ARID1A_+_27022137.24-ENST00000324856.7~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	24	27022137	e39m1	27022137	+	['ENST00000324856.7']
Apoptosis+Cancer+Other_Cancer=ARID1A_+_27022167.24-ENST00000324856.7~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	24	27022167	e39m1	27022167	+	['ENST00000324856.7']
Apoptosis+Cancer+Other_Cancer=ARID1A_+_27022279.24-ENST00000324856.7~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	24	27022279	e39m1	27022279	+	['ENST00000324856.7']
Apoptosis+Cancer+Other_Cancer=ARID1A_+_27022298.24-ENST00000324856.7~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	24	27022298	e39m1	27022298	+	['ENST00000324856.7']
Apoptosis+Cancer+Other_Cancer=ARID1A_+_27022309.24-ENST00000324856.7~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	24	27022309	e39m1	27022309	+	['ENST00000324856.7']
Apoptosis+Cancer+Other_Cancer=ARID1A_+_27022424.24-ENST00000324856.7~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	24	27022424	e39m1	27022424	+	['ENST00000324856.7']
Apoptosis+Cancer+Other_Cancer=ARID1A_+_27022514.23-ENST00000457599.2~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	23	27022514	e39m1	27022514	+	['ENST00000457599.2']
Apoptosis+Cancer+Other_Cancer=ARID1A_+_27022622.23-ENST00000457599.2~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	23	27022622	e39m1	27022622	+	['ENST00000457599.2']
Apoptosis+Cancer+Other_Cancer=ARID1A_+_27022723.25-ENST00000457599.2~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	25	27022723	e39m1	27022723	+	['ENST00000457599.2']
Apoptosis+Cancer+Other_Cancer=ARID1A_-_27022147.24-ENST00000324856.7~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	24	27022147	e39m1	27022147	-	['ENST00000324856.7']
Apoptosis+Cancer+Other_Cancer=ARID1A_-_27022176.24-ENST00000324856.7~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	24	27022176	e39m1	27022176	-	['ENST00000324856.7']
Apoptosis+Cancer+Other_Cancer=ARID1A_-_27022243.24-ENST00000324856.7~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	24	27022243	e39m1	27022243	-	['ENST00000324856.7']
Apoptosis+Cancer+Other_Cancer=ARID1A_-_27022282.24-ENST00000324856.7~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	24	27022282	e39m1	27022282	-	['ENST00000324856.7']
Apoptosis+Cancer+Other_Cancer=ARID1A_-_27022543.24-ENST00000457599.2~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	24	27022543	e39m1	27022543	-	['ENST00000457599.2']
Apoptosis+Cancer+Other_Cancer=ARID1A_-_27022597.24-ENST00000457599.2~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	24	27022597	e39m1	27022597	-	['ENST00000457599.2']
Apoptosis+Cancer+Other_Cancer=ARID1A_-_27022626.24-ENST00000457599.2~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	24	27022626	e39m1	27022626	-	['ENST00000457599.2']
Apoptosis+Cancer+Other_Cancer=ARID1A_-_27022729.25-ENST00000457599.2~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	25	27022729	e39m1	27022729	-	['ENST00000457599.2']
Apoptosis+Cancer+Other_Cancer=ARID1A_-_27022766.24-ENST00000457599.2~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	24	27022766	e39m1	27022766	-	['ENST00000457599.2']
Apoptosis+Cancer+Other_Cancer=ARID1A_-_27022796.24-ENST00000457599.2~e39m1	Apoptosis+Cancer+Other_Cancer	ARID1A	24	27022796	e39m1	27022796	-	['ENST00000457599.2']
Unassigned=ARRDC3_+_90679268.24-all~e39m1	Unassigned	ARRDC3	24	90679268	e39m1	90679268	+	['all']
Unassigned=ARRDC3_+_90679394.23-all~e39m1	Unassigned	ARRDC3	23	90679394	e39m1	90679394	+	['all']
Unassigned=ARRDC3_+_90679414.22-all~e39m1	Unassigned	ARRDC3	22	90679414	e39m1	90679414	+	['all']
