gene	transcripts	chromosome	position	strand	annotation source
0610007P14Rik	ENSMUST00000021676.5	chr12	85824521	-	GENCODE
0610009B22Rik	ENSMUST00000007921.2	chr11	51688652	-	GENCODE
0610009B22Rik	ENSMUST00000109098.1	chr11	51688873	-	GENCODE
0610009D07Rik	ENSMUST00000046207.7	chr12	4817607	+	GENCODE
0610009L18Rik	ENSMUST00000143813.1	chr11	120348677	+	GENCODE
0610009O20Rik	ENSMUST00000025314.5	chr18	38250248	+	GENCODE
0610010F05Rik	ENSMUST00000043356.6	chr11	23629026	-	GENCODE
0610010F05Rik	ENSMUST00000109532.2,ENSMUST00000180260.1	chr11	23633634	-	GENCODE
0610010K14Rik	ENSMUST00000108578.2,ENSMUST00000108576.3	chr11	70237858	-	GENCODE
0610011F06Rik	ENSMUST00000026827.8	chr17	25875499	+	GENCODE
0610012H03Rik	ENSMUST00000068813.2	chr2	105224319	+	GENCODE
0610030E20Rik	ENSMUST00000077783.3	chr6	72347316	+	GENCODE
0610031J06Rik	ENSMUST00000177005.1	chr3	88325022	+	GENCODE
0610037L13Rik	ENSMUST00000135454.1	chr4	107889812	+	GENCODE
0610040J01Rik	ENSMUST00000081747.3	chr5	63812494	+	GENCODE
1100001G20Rik	ENSMUST00000070832.2	chr11	83746939	+	GENCODE
1110001A16Rik	ENSMUST00000063817.4,ENSMUST00000180077.1	chr17	78916498	+	GENCODE
1110001J03Rik	ENSMUST00000019833.4	chr6	38534822	+	GENCODE
1110002E22Rik	ENSMUST00000163080.2	chr3	138065051	+	GENCODE
1110002L01Rik	ENSMUST00000180149.1	chr12	3426746	-	GENCODE
1110004E09Rik	ENSMUST00000023694.3	chr16	90934826	-	GENCODE
1110004F10Rik	ENSMUST00000032899.5	chr7	116093300	+	GENCODE
1110007C09Rik	ENSMUST00000048946.6	chr13	49216025	-	GENCODE
1110008F13Rik	ENSMUST00000029165.3	chr2	156863127	+	GENCODE
1110008J03Rik	ENSMUST00000031599.2,ENSMUST00000177800.1	chr5	120612588	-	GENCODE
1110008L16Rik	ENSMUST00000021411.8	chr12	55302636	+	GENCODE
1110008L16Rik	ENSMUST00000184766.1	chr12	55303242	+	GENCODE
1110008P14Rik	ENSMUST00000048792.4	chr2	32381937	-	GENCODE
1110012L19Rik	ENSMUST00000053981.5	chrX	70385876	+	GENCODE
1110017D15Rik	ENSMUST00000030152.6	chr4	41517332	-	GENCODE
1110025L11Rik	ENSMUST00000089104.2	chr16	89064001	-	GENCODE
1110032A03Rik	ENSMUST00000042468.2	chr9	50768451	-	GENCODE
1110032F04Rik	ENSMUST00000054551.2	chr3	68869585	+	GENCODE
