gene	transcripts	position	strand	chromosome	cage peak ranges
A1BG	all	58864864.0	-	chr19	[(58864822, 58864847), (58864848, 58864868)]
A1CF	ENST00000373993.1	52619744.0	-	chr10	[]
A1CF	ENST00000374001.2,ENST00000373997.3,ENST00000282641.2	52645434.0	-	chr10	[(52645379, 52645393), (52645416, 52645444)]
A2M	all	9268752.0	-	chr12	[(9268547, 9268556), (9268559, 9268568), (9268707, 9268758), (9268765, 9268779), (9268819, 9268829)]
A2ML1	all	8975067.0	+	chr12	[(8975061, 8975072), (8975101, 8975108), (8975144, 8975169), (8975206, 8975223)]
A4GALT	ENST00000249005.2,ENST00000381278.3	43091638.0	-	chr22	[(43091530, 43091532), (43091536, 43091550), (43091555, 43091566)]
A4GALT	ENST00000401850.1	43090991.0	-	chr22	[]
AAAS	all	53715414.0	-	chr12	[(53715328, 53715411)]
AACS	all	125549924.0	+	chr12	[(125549932, 125549956), (125549973, 125549995), (125550062, 125550086)]
AADAC	all	151531824.0	+	chr3	[(151531810, 151531849), (151531859, 151531887), (151531890, 151531915), (151531919, 151531930)]
AADACL2	all	151451714.0	+	chr3	[(151451707, 151451722)]
AADAT	ENST00000337664.4	171011117.0	-	chr4	[(171010923, 171010967), (171011055, 171011076), (171011084, 171011147), (171011150, 171011162), (171011288, 171011293), (171011300, 171011322)]
AADAT	ENST00000337664.4,ENST00000509167.1,ENST00000353187.2	171011284.0	-	chr4	[(171011084, 171011147), (171011150, 171011162), (171011288, 171011293), (171011300, 171011322), (171011323, 171011408), (171011418, 171011423)]
AADAT	ENST00000509167.1,ENST00000515480.1,ENST00000353187.2	171011424.0	-	chr4	[(171011288, 171011293), (171011300, 171011322), (171011323, 171011408), (171011418, 171011423)]
AAED1	all	99417562.0	-	chr9	[(99417376, 99417394), (99417562, 99417609), (99417615, 99417622), (99417630, 99417637), (99417719, 99417737)]
AAGAB	all	67547073.0	-	chr15	[(67546963, 67547024), (67547072, 67547076)]
AAK1	all	69870848.0	-	chr2	[(69870702, 69870711), (69870747, 69870812), (69870813, 69870827), (69870835, 69870853), (69870854, 69870878), (69871040, 69871054)]
AAMDC	all	77532181.5	+	chr11	[(77532151, 77532162), (77532171, 77532210), (77532233, 77532244), (77532301, 77532302)]
AAMP	all	219134939.5	-	chr2	[(219134822, 219134898)]
AANAT	all	74463650.0	+	chr17	[(74463550, 74463553), (74463567, 74463574), (74463593, 74463596), (74463608, 74463612), (74463650, 74463673), (74463679, 74463701), (74463711, 74463736), (74463757, 74463760)]
AAR2	all	34824396.0	+	chr20	[(34824309, 34824312), (34824355, 34824408), (34824444, 34824445), (34824448, 34824459), (34824502, 34824505)]
AARS	all	70323445.0	-	chr16	[(70323383, 70323421), (70323422, 70323463), (70323579, 70323601)]
AARS2	all	44281062.0	-	chr6	[(44280913, 44280945), (44281009, 44281021), (44281043, 44281091)]
AARSD1	all	41116492.0	-	chr17	[(41116334, 41116367), (41116393, 41116402)]
AASDH	all	57253665.0	-	chr4	[(57253587, 57253670)]
AASDHPPT	all	105948215.0	+	chr11	[(105948366, 105948416)]
AASS	ENST00000393376.1	121773875.0	-	chr7	[]
AASS	ENST00000417368.2	121784333.0	-	chr7	[(121784265, 121784276), (121784285, 121784350), (121784355, 121784367)]
AATF	all	35306174.0	+	chr17	[(35306233, 35306325)]
AATK	all	79139816.0	-	chr17	[(79139614, 79139639), (79139747, 79139774), (79139881, 79139899), (79139900, 79139908), (79139909, 79139916), (79139939, 79139958), (79139961, 79140050)]
ABAT	ENST00000268251.8	8768421.0	+	chr16	[(8768441, 8768452), (8768462, 8768484), (8768489, 8768502)]
ABAT	ENST00000396600.2	8806825.0	+	chr16	[(8806800, 8806851), (8806861, 8806864)]
ABAT	ENST00000425191.2	8814572.0	+	chr16	[(8814563, 8814603), (8814612, 8814622), (8814650, 8814664), (8814719, 8814735)]
ABCA1	all	107690517.0	-	chr9	[(107690382, 107690393), (107690428, 107690442), (107690576, 107690580)]
ABCA12	all	216003150.0	-	chr2	[(216003039, 216003042), (216003059, 216003077), (216003083, 216003095)]
ABCA13	all	48211056.0	+	chr7	[]
ABCA2	all	139922739.0	-	chr9	[(139922631, 139922658), (139922671, 139922697), (139922700, 139922717), (139922726, 139922738), (139922758, 139922769)]
ABCA3	all	2390735.0	-	chr16	[(2390672, 2390686), (2390692, 2390703), (2390704, 2390762), (2390769, 2390789)]
ABCA4	all	94586687.0	-	chr1	[(94586583, 94586586), (94586634, 94586639), (94586651, 94586733)]
ABCA5	ENST00000392676.3,ENST00000392677.2	67323281.5	-	chr17	[(67323213, 67323216), (67323232, 67323299), (67323305, 67323331), (67323398, 67323403), (67323415, 67323424)]
ABCA5	ENST00000588877.1	67311565.0	-	chr17	[]
ABCA6	all	67138014.0	-	chr17	[(67137966, 67137971), (67137987, 67138000), (67138020, 67138062), (67138066, 67138082), (67138089, 67138092)]
ABCA7	all	1042660.0	+	chr19	[(1042475, 1042476)]
ABCA8	ENST00000430352.2	66938224.0	-	chr17	[]
ABCA8	ENST00000586539.1	66951381.0	-	chr17	[(66951400, 66951411), (66951415, 66951429), (66951430, 66951441), (66951474, 66951550)]
ABCA9	all	67057204.0	-	chr17	[(67057061, 67057094), (67057114, 67057126)]
ABCB1	all	87342563.0	-	chr7	[(87342602, 87342617), (87342667, 87342674), (87342681, 87342695), (87342698, 87342705)]
ABCB10	all	229694441.0	-	chr1	[(229694395, 229694402), (229694406, 229694477), (229694480, 229694499), (229694598, 229694606), (229694616, 229694629)]
ABCB11	all	169887831.0	-	chr2	[(169887948, 169887972)]
ABCB4	ENST00000359206.3	87104974.0	-	chr7	[(87104963, 87105038), (87105153, 87105185)]
ABCB4	ENST00000545634.1	87104780.0	-	chr7	[(87104963, 87105038)]
ABCB4	all	87104877.0	-	chr7	[(87104963, 87105038)]
ABCB6	all	220083711.0	-	chr2	[(220083499, 220083603), (220083606, 220083620), (220083671, 220083685), (220083692, 220083704), (220083707, 220083718), (220083724, 220083730)]
ABCB7	all	74376122.5	-	chrX	[(74376108, 74376129)]
ABCB8	all	150725509.0	+	chr7	[(150725523, 150725553), (150725556, 150725576)]
ABCB9	ENST00000280560.8	123451042.0	-	chr12	[(123450916, 123450928), (123450943, 123450954), (123450958, 123450969), (123450986, 123451027)]
ABCB9	ENST00000392439.3	123459751.0	-	chr12	[(123459661, 123459710), (123459732, 123459737), (123459746, 123459752), (123459757, 123459765)]
ABCB9	ENST00000542678.1	123466195.0	-	chr12	[(123466016, 123466017), (123466160, 123466180), (123466203, 123466220), (123466326, 123466376)]
ABCC1	all	16043433.0	+	chr16	[(16043227, 16043244), (16043406, 16043423), (16043454, 16043502), (16043578, 16043597), (16043616, 16043628)]
ABCC10	all	43395291.0	+	chr6	[(43395253, 43395260), (43395272, 43395323), (43395379, 43395400)]
ABCC12	all	48180680.0	-	chr16	[]
ABCC2	all	101542488.0	+	chr10	[(101542384, 101542406), (101542411, 101542414), (101542415, 101542428), (101542439, 101542457), (101542462, 101542535), (101542550, 101542573), (101542585, 101542592)]
ABCC3	all	48712217.0	+	chr17	[(48712007, 48712023), (48712041, 48712047), (48712143, 48712165), (48712178, 48712189), (48712191, 48712198), (48712206, 48712285)]
ABCC4	all	95953682.0	-	chr13	[(95953521, 95953546), (95953649, 95953660), (95953664, 95953740), (95953841, 95953850)]
ABCC5	all	183735802.0	-	chr3	[(183735660, 183735727), (183735731, 183735746), (183735995, 183735999)]
ABCC6	all	16317320.0	-	chr16	[]
ABCC8	all	17498419.5	-	chr11	[(17498309, 17498335), (17498348, 17498431)]
ABCC9	all	22089607.0	-	chr12	[]
ABCD1	all	152990322.0	+	chrX	[(152990302, 152990319), (152990427, 152990430), (152990431, 152990449)]
ABCD2	all	40013552.0	-	chr12	[(40013582, 40013635), (40013727, 40013739), (40013745, 40013752)]
ABCD3	all	94884010.0	+	chr1	[(94883800, 94883815), (94883817, 94883846), (94883931, 94883980), (94883991, 94884008), (94884023, 94884034)]
ABCD4	all	74769758.0	-	chr14	[(74769629, 74769648), (74769653, 74769705), (74769765, 74769776)]
ABCE1	all	146019083.0	+	chr4	[(146019074, 146019086)]
ABCF1	all	30539160.5	+	chr6	[(30539204, 30539255), (30539311, 30539339)]
ABCF2	all	150924315.0	-	chr7	[(150924258, 150924259), (150924271, 150924332), (150924391, 150924407), (150924431, 150924444), (150924464, 150924470)]
ABCF3	all	183903810.0	+	chr3	[(183903943, 183903996)]
ABCG1	all	43639227.0	+	chr21	[(43639045, 43639055), (43639096, 43639111), (43639132, 43639133), (43639211, 43639279), (43639281, 43639287), (43639347, 43639380)]
ABCG2	all	89080063.0	-	chr4	[(89080003, 89080075), (89080129, 89080138), (89080162, 89080171), (89080174, 89080191), (89080205, 89080219)]
ABCG4	all	119019721.0	+	chr11	[(119019569, 119019573), (119019721, 119019727), (119019738, 119019769), (119019772, 119019777), (119019778, 119019795)]
ABHD1	all	27346702.0	+	chr2	[(27346611, 27346616), (27346628, 27346658), (27346666, 27346722), (27346779, 27346801)]
ABHD10	all	111697881.0	+	chr3	[(111697716, 111697723), (111697749, 111697768), (111697825, 111697838), (111697843, 111697908)]
ABHD11	all	73153196.0	-	chr7	[(73153122, 73153148), (73153161, 73153177), (73153178, 73153189)]
ABHD12	all	25371611.0	-	chr20	[(25371412, 25371507)]
ABHD13	all	108870726.0	+	chr13	[(108870714, 108870780), (108870808, 108870822), (108870828, 108870878)]
ABHD14A	all	52009083.0	+	chr3	[(52008858, 52008905), (52009067, 52009102), (52009110, 52009147)]
ABHD14B	ENST00000395008.2,ENST00000361143.5,ENST00000525795.1	52008063.6667	-	chr3	[(52008016, 52008071)]
ABHD14B	ENST00000483233.1	52017424.0	-	chr3	[(52017344, 52017352), (52017372, 52017389), (52017411, 52017419), (52017430, 52017448)]
ABHD15	all	27894154.0	-	chr17	[(27893947, 27893959), (27893980, 27893987), (27893990, 27894060), (27894107, 27894116), (27894199, 27894229)]
ABHD17A	all	1885545.0	-	chr19	[(1885483, 1885507), (1885511, 1885526)]
ABHD17B	all	74525751.5	-	chr9	[(74525707, 74525709), (74525766, 74525776)]
ABHD17C	all	80987643.0	+	chr15	[(80987617, 80987720), (80987726, 80987733), (80987825, 80987834)]
ABHD2	ENST00000352732.5	89631380.0	+	chr15	[(89631183, 89631218), (89631246, 89631266), (89631388, 89631391), (89631399, 89631410), (89631447, 89631448)]
ABHD2	ENST00000352732.5,ENST00000565973.1	89631520.0	+	chr15	[(89631388, 89631391), (89631399, 89631410), (89631447, 89631448), (89631647, 89631725)]
ABHD2	ENST00000355100.3	89645671.0	+	chr15	[]
ABHD2	ENST00000565973.1	89631660.0	+	chr15	[(89631647, 89631725), (89631731, 89631746)]
ABHD3	all	19284765.0	-	chr18	[(19284724, 19284779)]
ABHD4	all	23067145.0	+	chr14	[(23067014, 23067015), (23067151, 23067160), (23067166, 23067219)]
ABHD5	all	43732361.0	+	chr3	[(43732215, 43732224), (43732245, 43732252), (43732271, 43732280), (43732373, 43732408), (43732420, 43732436), (43732461, 43732472), (43732537, 43732581)]
ABHD6	all	58223245.0	+	chr3	[(58223228, 58223282), (58223285, 58223315), (58223326, 58223335)]
ABHD8	all	17414281.0	-	chr19	[(17414127, 17414154), (17414157, 17414168), (17414179, 17414249), (17414262, 17414265)]
ABI1	ENST00000376142.2,ENST00000359188.4,ENST00000376138.3,ENST00000355394.4,ENST00000346832.5,ENST00000376134.3,ENST00000376137.4,ENST00000536334.1	27149969.875	-	chr10	[(27149817, 27149850), (27149851, 27149898), (27149904, 27149920)]
ABI1	ENST00000376170.4,ENST00000376142.2,ENST00000359188.4,ENST00000376138.3,ENST00000355394.4,ENST00000346832.5,ENST00000376134.3,ENST00000376137.4,ENST00000536334.1	27149953.2222	-	chr10	[(27149817, 27149850), (27149851, 27149898), (27149904, 27149920)]
ABI1	ENST00000376170.4,ENST00000376142.2,ENST00000359188.4,ENST00000376138.3,ENST00000376140.3	27149859.0	-	chr10	[(27149817, 27149850), (27149851, 27149898), (27149904, 27149920)]
ABI1	ENST00000376170.4,ENST00000376142.2,ENST00000359188.4,ENST00000376140.3	27149834.25	-	chr10	[(27149817, 27149850), (27149851, 27149898), (27149904, 27149920)]
ABI1	all	27149937.0	-	chr10	[(27149817, 27149850), (27149851, 27149898), (27149904, 27149920)]
ABI2	ENST00000295851.5	204192941.0	+	chr2	[(204192989, 204193038), (204193085, 204193096), (204193101, 204193128), (204193129, 204193139)]
ABI2	ENST00000422511.2	204193206.0	+	chr2	[(204192989, 204193038), (204193085, 204193096), (204193101, 204193128), (204193129, 204193139), (204193149, 204193156)]
ABI2	all	204193073.5	+	chr2	[(204192989, 204193038), (204193085, 204193096), (204193101, 204193128), (204193129, 204193139), (204193149, 204193156)]
ABL1	all	133589332.0	+	chr9	[(133589177, 133589193), (133589197, 133589202), (133589266, 133589270), (133589300, 133589336)]
ABL2	ENST00000502732.1,ENST00000367623.4,ENST00000507173.1,ENST00000511413.1	179198582.0	-	chr1	[(179198702, 179198741)]
ABL2	ENST00000504405.1	179112178.0	-	chr1	[(179112109, 179112125), (179112145, 179112151), (179112173, 179112178), (179112189, 179112219)]
ABLIM1	all	116418056.0	-	chr10	[(116417910, 116417911), (116417977, 116417983), (116417993, 116417999), (116418022, 116418025), (116418028, 116418040), (116418053, 116418062), (116418066, 116418075)]
ABLIM2	all	8160502.2	-	chr4	[(8160490, 8160499), (8160512, 8160582), (8160596, 8160605)]
ABLIM3	all	148521120.5	+	chr5	[(148521047, 148521076), (148521080, 148521091), (148521107, 148521118), (148521136, 148521147), (148521286, 148521377)]
ABO	all	136150610.0	-	chr9	[(136150607, 136150648)]
ABR	all	1083167.0	-	chr17	[(1083234, 1083294)]
ABRA	all	107782472.0	-	chr8	[(107782452, 107782461), (107782463, 107782479)]
ABRACL	all	139349818.0	+	chr6	[(139349636, 139349663), (139349817, 139349899), (139349903, 139349944)]
ABT1	all	26597179.0	+	chr6	[(26597155, 26597213), (26597363, 26597406)]
ABTB1	all	127391782.0	+	chr3	[(127391769, 127391861)]
ABTB2	all	34379554.0	-	chr11	[(34379455, 34379488), (34379546, 34379563), (34379574, 34379590)]
ACAA1	all	38178698.0	-	chr3	[(38178534, 38178632), (38178634, 38178643), (38178646, 38178655)]
ACAA2	all	47340325.5	-	chr18	[(47340200, 47340235), (47340238, 47340295), (47340297, 47340335)]
ACACA	all	35716058.0	-	chr17	[(35716019, 35716079), (35716151, 35716162), (35716164, 35716193), (35716202, 35716257)]
ACACB	ENST00000338432.7	109554399.0	+	chr12	[(109554364, 109554380), (109554386, 109554402), (109554408, 109554419)]
ACACB	ENST00000377848.3	109577201.0	+	chr12	[]
ACAD10	all	112123901.0	+	chr12	[(112123837, 112123844), (112123850, 112123913)]
ACAD11	all	132379566.0	-	chr3	[(132379387, 132379423), (132379451, 132379458), (132379479, 132379484), (132379512, 132379517), (132379537, 132379542), (132379548, 132379615)]
ACAD8	all	134123388.0	+	chr11	[(134123416, 134123421), (134123425, 134123485)]
ACAD9	all	128598453.0	+	chr3	[(128598433, 128598511), (128598615, 128598619)]
ACADL	all	211090214.0	-	chr2	[(211090039, 211090059), (211090073, 211090085), (211090089, 211090121), (211090124, 211090132), (211090139, 211090150), (211090162, 211090179), (211090190, 211090195), (211090202, 211090206), (211090238, 211090259), (211090289, 211090333)]
ACADM	ENST00000370841.4	76190035.0	+	chr1	[(76189869, 76189870), (76190019, 76190024), (76190027, 76190068), (76190076, 76190140)]
ACADM	ENST00000420607.2	76190464.0	+	chr1	[(76190262, 76190277), (76190280, 76190291), (76190357, 76190457)]
ACADS	all	121163537.0	+	chr12	[(121163596, 121163599), (121163602, 121163682)]
