gene	transcript	chromosome	strand	TSS source	primary TSS	secondary TSS
A1BG	P1	chr19	-	CAGE, matched peaks	(58858938, 58859039)	(58858938, 58859039)
A1BG	P2	chr19	-	CAGE, matched peaks	(58864822, 58864847)	(58864822, 58864847)
A1CF	P1P2	chr10	-	CAGE, matched peaks	(52645379, 52645393)	(52645379, 52645393)
A2M	P1P2	chr12	-	CAGE, matched peaks	(9268507, 9268523)	(9268528, 9268542)
A2ML1	P1P2	chr12	+	CAGE, matched peaks	(8975206, 8975223)	(8975144, 8975169)
A4GALT	P1P2	chr22	-	CAGE, matched peaks	(43116867, 43116885)	(43116819, 43116859)
AAAS	P1P2	chr12	-	CAGE, matched peaks	(53715328, 53715411)	(53715027, 53715096)
AACS	P1P2	chr12	+	CAGE, matched peaks	(125549973, 125549995)	(125549932, 125549956)
AADAC	P1P2	chr3	+	CAGE, matched peaks	(151531890, 151531915)	(151531810, 151531849)
AADACL2	P1P2	chr3	+	CAGE, matched peaks	(151451707, 151451722)	(151451707, 151451722)
AADAT	P1P2	chr4	-	CAGE, matched peaks	(171011323, 171011408)	(171011084, 171011147)
AAED1	P1P2	chr9	-	CAGE, matched peaks	(99417562, 99417609)	(99417615, 99417622)
AAGAB	P1P2	chr15	-	CAGE, matched peaks	(67546963, 67547024)	(67546963, 67547024)
AAK1	P1P2	chr2	-	CAGE, matched peaks	(69870747, 69870812)	(69870854, 69870878)
AAMDC	P1P2	chr11	+	CAGE, matched peaks	(77532171, 77532210)	(77532233, 77532244)
AAMP	P1P2	chr2	-	CAGE, matched peaks	(219134822, 219134898)	(219134430, 219134472)
AANAT	P1P2	chr17	+	CAGE, matched peaks	(74463679, 74463701)	(74463711, 74463736)
AAR2	P1P2	chr20	+	CAGE, matched peaks	(34824355, 34824408)	(34824448, 34824459)
AARS	P1P2	chr16	-	CAGE, matched peaks	(70323383, 70323421)	(70323422, 70323463)
AARS2	P1P2	chr6	-	CAGE, matched peaks	(44281043, 44281091)	(44281043, 44281091)
AARSD1	P1	chr17	-	CAGE, matched peaks	(41116454, 41116497)	(41116454, 41116497)
AARSD1	P2	chr17	-	CAGE, matched peaks	(41132088, 41132107)	(41132088, 41132107)
AASDH	P1P2	chr4	-	CAGE, matched peaks	(57253587, 57253670)	(57253587, 57253670)
AASDHPPT	P1P2	chr11	+	CAGE, matched peaks	(105948366, 105948416)	(105948420, 105948438)
AASS	P1P2	chr7	-	CAGE, matched peaks	(121784285, 121784350)	(121784265, 121784276)
AATF	P1P2	chr17	+	CAGE, matched peaks	(35306233, 35306325)	(35306379, 35306386)
AATK	all	chr17	-	CAGE, robust peak	(79139961, 79140050)	(79139614, 79139639)
ABAT	P1	chr16	+	CAGE, matched peaks	(8768462, 8768484)	(8768462, 8768484)
ABAT	P2	chr16	+	CAGE, matched peaks	(8807419, 8807470)	(8807419, 8807470)
